observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_fraction,raw_at_site_seconds,foraging_within_raw_at_site_seconds,focal_visible_union_seconds,all_foraging_seconds
8,Observation 8,N6,2017-12-05,Observer 2,0,14,14.75,1800.0,0.0,1113.4439999999959,981.5460000000021,1113.4439999999959,981.5460000000021
8,Observation 8,N6,2017-12-05,Observer 2,0,15,15.25,1800.0,0.0,204.34200000000055,201.1790000000001,204.34200000000055,201.1790000000001
8,Observation 8,N6,2017-12-05,Observer 2,0,16,15.75,1800.0,0.0,886.1629999999968,453.85400000000664,886.1629999999968,453.85400000000664
8,Observation 8,N6,2017-12-05,Observer 2,0,17,16.25,1800.0,0.0,146.34999999999854,140.69599999999627,146.34999999999854,140.69599999999627
8,Observation 8,N6,2017-12-05,Observer 2,0,18,16.75,1800.0,0.0,565.619999999999,321.79299999999785,565.619999999999,321.79299999999785
8,Observation 8,N6,2017-12-05,Observer 2,0,19,17.25,1800.0,0.0,30.27600000000166,26.79699999999866,30.27600000000166,26.79699999999866
8,Observation 8,N6,2017-12-05,Observer 2,0,20,17.75,1800.0,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,21,18.25,1800.0,0.0,15.188999999998487,11.543999999994412,15.188999999998487,11.543999999994412
8,Observation 8,N6,2017-12-05,Observer 2,0,22,18.75,1800.0,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,23,19.25,1800.0,0.0,0.0,0.0,0.0,0.0
8,Observation 8,N6,2017-12-05,Observer 2,0,24,19.65833333333333,1141.8799999999974,0.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,1,8.34388888888889,1123.0,0.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,2,8.75,1800.0,0.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,3,9.25,1800.0,0.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,4,9.75,1800.0,0.0,387.0709999999999,200.59599999999955,387.0709999999999,200.59599999999955
9,Observation 9,M(5),2017-12-06,Observer 1,1,5,10.25,1800.0,0.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,6,10.75,1800.0,0.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,7,11.25,1800.0,0.14704944444444462,62.67000000000007,0,62.67000000000007,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,8,11.75,1800.0,1.0,610.2949999999983,197.0709999999999,610.2949999999983,197.0709999999999
9,Observation 9,M(5),2017-12-06,Observer 1,1,9,12.25,1800.0,1.0,835.1889999999985,605.3199999999961,835.1889999999985,605.3199999999961
9,Observation 9,M(5),2017-12-06,Observer 1,1,10,12.75,1800.0,1.0,480.24399999999514,317.9490000000005,480.24399999999514,317.9490000000005
9,Observation 9,M(5),2017-12-06,Observer 1,1,11,13.25,1800.0,1.0,627.1270000000004,141.45899999999529,627.1270000000004,141.45899999999529
9,Observation 9,M(5),2017-12-06,Observer 1,1,12,13.75,1800.0,1.0,614.9570000000022,325.0040000000008,614.9570000000022,325.0040000000008
9,Observation 9,M(5),2017-12-06,Observer 1,1,13,14.25,1800.0,1.0,769.3079999999973,129.1359999999986,769.3079999999973,129.1359999999986
9,Observation 9,M(5),2017-12-06,Observer 1,1,14,14.75,1800.0,1.0,1318.155999999999,368.9290000000001,1318.155999999999,368.9290000000001
9,Observation 9,M(5),2017-12-06,Observer 1,1,15,15.25,1800.0,1.0,0.0,0.0,0.0,0.0
9,Observation 9,M(5),2017-12-06,Observer 1,1,16,15.75,1800.0,1.0,690.3479999999981,423.02000000000044,690.3479999999981,423.02000000000044
9,Observation 9,M(5),2017-12-06,Observer 1,1,17,16.25,1800.0,1.0,256.6590000000033,33.108000000000175,256.6590000000033,33.108000000000175
9,Observation 9,M(5),2017-12-06,Observer 1,1,18,16.75,1800.0,1.0,403.3019999999997,69.66400000000067,403.3019999999997,69.66400000000067
