observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,bin_start_local,bin_stop_local,clock_hour,camera_seconds,post_collection_fraction,hours_from_collection_midpoint,collection_phase,focal_visible_seconds,group_size_known_seconds,group_size_person_seconds,time_weighted_mean_group_size,multiple_grackle_seconds,multiple_grackle_fraction,focal_competitor_seconds_lower_bound,group_size_9plus_seconds,displacement_events_all,displacement_events_with_known_group,displacement_events_with_recorded_competitor,maximum_group_size_lower_bound
5,Observation 5,N4,2017-12-01,Observer 2,1,14,2017-12-01T14:30:00.000,2017-12-01T15:00:00.000,14.75,1800.0,1.0,2.660927222222222,Post-collection,476.64600000000064,473.9799999999923,473.9799999999923,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,15,2017-12-01T15:00:00.000,2017-12-01T15:30:00.000,15.25,1800.0,1.0,3.160927222222222,Post-collection,199.33199999999852,196.1239999999998,196.1239999999998,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,16,2017-12-01T15:30:00.000,2017-12-01T16:00:00.000,15.75,1800.0,1.0,3.660927222222222,Post-collection,35.168000000001484,34.63000000000102,34.63000000000102,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,17,2017-12-01T16:00:00.000,2017-12-01T16:30:00.000,16.25,1800.0,1.0,4.160927222222222,Post-collection,132.96700000000055,131.90000000000146,362.15599999999904,2.7456861258528815,105.26599999999962,0.7980742987111331,230.25599999999758,0.0,0,0,0,5
5,Observation 5,N4,2017-12-01,Observer 2,1,18,2017-12-01T16:30:00.000,2017-12-01T17:00:00.000,16.75,1800.0,1.0,4.660927222222222,Post-collection,236.7679999999964,235.7059999999983,405.48399999999674,1.72029562251279,107.98899999999776,0.4581512562259702,169.77799999999843,0.0,0,0,0,4
5,Observation 5,N4,2017-12-01,Observer 2,1,19,2017-12-01T17:00:00.000,2017-12-01T17:30:00.000,17.25,1800.0,1.0,5.160927222222222,Post-collection,82.82800000000134,82.82800000000134,82.82800000000134,1.0,0.0,0.0,0.0,0.0,0,0,0,1
5,Observation 5,N4,2017-12-01,Observer 2,1,20,2017-12-01T17:30:00.000,2017-12-01T18:00:00.000,17.75,1800.0,1.0,5.660927222222222,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,21,2017-12-01T18:00:00.000,2017-12-01T18:30:00.000,18.25,1800.0,1.0,6.160927222222222,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,22,2017-12-01T18:30:00.000,2017-12-01T19:00:00.000,18.75,1800.0,1.0,6.660927222222222,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,23,2017-12-01T19:00:00.000,2017-12-01T19:30:00.000,19.25,1800.0,1.0,7.160927222222222,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,24,2017-12-01T19:30:00.000,2017-12-01T20:00:00.000,19.75,1800.0,1.0,7.660927222222222,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,25,2017-12-01T20:00:00.000,2017-12-01T20:30:00.000,20.25,1800.0,1.0,8.160927222222222,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
5,Observation 5,N4,2017-12-01,Observer 2,1,26,2017-12-01T20:30:00.000,2017-12-01T21:00:00.000,20.610277777777778,795.1399999999994,1.0,8.521363333333333,Post-collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
6,Observation 6,M(4),2017-12-02,Observer 1,0,1,2017-12-02T08:00:00.000,2017-12-02T08:30:00.000,8.366666666666667,960.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
6,Observation 6,M(4),2017-12-02,Observer 1,0,2,2017-12-02T08:30:00.000,2017-12-02T09:00:00.000,8.75,1800.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
6,Observation 6,M(4),2017-12-02,Observer 1,0,3,2017-12-02T09:00:00.000,2017-12-02T09:30:00.000,9.25,1800.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
6,Observation 6,M(4),2017-12-02,Observer 1,0,4,2017-12-02T09:30:00.000,2017-12-02T10:00:00.000,9.75,1800.0,0.0,,No collection,285.66299999999956,285.66299999999956,335.9299999999994,1.175966085912421,50.266999999999825,0.17596608591242094,50.266999999999825,0.0,0,0,0,2
6,Observation 6,M(4),2017-12-02,Observer 1,0,5,2017-12-02T10:00:00.000,2017-12-02T10:30:00.000,10.25,1800.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
6,Observation 6,M(4),2017-12-02,Observer 1,0,6,2017-12-02T10:30:00.000,2017-12-02T11:00:00.000,10.75,1800.0,0.0,,No collection,772.9650000000038,772.9650000000038,1511.1570000000065,1.955013487027225,436.21300000000156,0.5643373244584159,738.1920000000027,0.0,1,1,0,5
6,Observation 6,M(4),2017-12-02,Observer 1,0,7,2017-12-02T11:00:00.000,2017-12-02T11:30:00.000,11.25,1800.0,0.0,,No collection,1144.5729999999985,1144.5729999999985,2367.5059999999994,2.0684622125456413,545.6200000000008,0.47670179184726663,1222.933000000001,0.0,0,0,0,6
6,Observation 6,M(4),2017-12-02,Observer 1,0,8,2017-12-02T11:30:00.000,2017-12-02T12:00:00.000,11.75,1800.0,0.0,,No collection,974.1499999999996,974.1499999999996,1672.2119999999977,1.7165857414155914,585.020999999997,0.6005450905917952,698.0619999999981,0.0,0,0,0,4
6,Observation 6,M(4),2017-12-02,Observer 1,0,9,2017-12-02T12:00:00.000,2017-12-02T12:30:00.000,12.25,1800.0,0.0,,No collection,909.0310000000027,909.0310000000027,1085.448000000004,1.1940714893111464,176.41700000000128,0.19407148931114643,176.41700000000128,0.0,2,2,1,2
6,Observation 6,M(4),2017-12-02,Observer 1,0,10,2017-12-02T12:30:00.000,2017-12-02T13:00:00.000,12.75,1800.0,0.0,,No collection,801.1079999999929,801.1079999999929,1143.0799999999908,1.4268737798149576,256.1559999999972,0.31975214328155444,341.97199999999793,0.0,1,1,1,6
6,Observation 6,M(4),2017-12-02,Observer 1,0,11,2017-12-02T13:00:00.000,2017-12-02T13:30:00.000,13.25,1800.0,0.0,,No collection,1276.2230000000054,1276.2230000000054,1538.4970000000067,1.205507971569232,262.27400000000125,0.20550797156923215,262.27400000000125,0.0,0,0,0,2
6,Observation 6,M(4),2017-12-02,Observer 1,0,12,2017-12-02T13:30:00.000,2017-12-02T14:00:00.000,13.75,1800.0,0.0,,No collection,623.0660000000025,623.0660000000025,834.7639999999956,1.3397681786520084,211.69799999999304,0.33976817865200826,211.69799999999304,0.0,1,1,1,2
6,Observation 6,M(4),2017-12-02,Observer 1,0,13,2017-12-02T14:00:00.000,2017-12-02T14:30:00.000,14.25,1800.0,0.0,,No collection,433.0829999999987,432.5789999999979,500.5999999999949,1.1572452661825872,66.31399999999849,0.15329916616386557,68.020999999997,0.0,1,1,1,3
6,Observation 6,M(4),2017-12-02,Observer 1,0,14,2017-12-02T14:30:00.000,2017-12-02T15:00:00.000,14.75,1800.0,0.0,,No collection,88.74200000000201,88.20900000000256,115.6469999999972,1.311056694895009,27.437999999994645,0.311056694895009,27.437999999994645,0.0,0,0,0,2
6,Observation 6,M(4),2017-12-02,Observer 1,0,15,2017-12-02T15:00:00.000,2017-12-02T15:30:00.000,15.25,1800.0,0.0,,No collection,1322.5759999999937,1321.041999999994,2362.453999999998,1.7883261849358374,617.7149999999965,0.4675967910179989,1041.412000000004,0.0,2,2,2,6
6,Observation 6,M(4),2017-12-02,Observer 1,0,16,2017-12-02T15:30:00.000,2017-12-02T16:00:00.000,15.75,1800.0,0.0,,No collection,622.3650000000052,621.5970000000052,949.768,1.5279481722080255,245.92699999999968,0.39563736633220176,328.1709999999948,0.0,1,1,1,4
6,Observation 6,M(4),2017-12-02,Observer 1,0,17,2017-12-02T16:00:00.000,2017-12-02T16:30:00.000,16.25,1800.0,0.0,,No collection,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0,0,
6,Observation 6,M(4),2017-12-02,Observer 1,0,18,2017-12-02T16:30:00.000,2017-12-02T17:00:00.000,16.75,1800.0,0.0,,No collection,337.46600000000035,336.96500000000015,638.1159999999982,1.8937159645660466,170.00499999999738,0.5045182734111772,301.150999999998,0.0,1,1,0,4
6,Observation 6,M(4),2017-12-02,Observer 1,0,19,2017-12-02T17:00:00.000,2017-12-02T17:30:00.000,17.25,1800.0,0.0,,No collection,1513.5249999999905,1513.5249999999905,4426.633999999987,2.9247181249070975,1193.2669999999925,0.7884025701590658,2913.1089999999967,0.0,2,2,0,6
